"日付","PCR 検査陽性者数","Newly confirmed cases","退院、療養解除となった者","入院治療を要する者","PCR 検査実施件数","死亡者数","国立感染症研究所","検疫所","地方衛生研究所・保健所","民間検査会社","大学等","医療機関","小計","計","Requiring inpatient care","Discharged from hospital or released from treatment","To be confirmed","Deaths","Severe cases"
"2020-01-16","1",,,,,,,,,,,,,,,,,,
"2020-01-17","0",,,,,,,,,,,,,,,,,,
"2020-01-18","0",,,,,,,,,,,,,,,,,,
"2020-01-19","0",,,,,,,,,,,,,,,,,,
"2020-01-20","0",,,,,,,,,,,,,,,,,,
"2020-01-21","0",,,,,,,,,,,,,,,,,,
"2020-01-22","0",,,,,,,,,,,,,,,,,,
"2020-01-23","0",,,,,,,,,,,,,,,,,,
"2020-01-24","1",,,,,,,,,,,,,,,,,,
"2020-01-25","1",,,,,,,,,,,,,,,,,,
"2020-01-26","1","1",,,,,,,,,,,,,,,,,
"2020-01-27","0","0",,,,,,,,,,,,,,,,,
"2020-01-28","3","3",,,,,,,,,,,,,,,,,
"2020-01-29","1","1","1",,,,,,,,,,,,,,,,
"2020-01-30","3","3","1",,,,,,,,,,,,,,,,
"2020-01-31","1","0","1",,,,,,,,,,,,,,,,
"2020-02-01","0","0","1",,,,,,,,,,,,,,,,
"2020-02-02","0","0","1",,,,,,,,,,,,,,,,
"2020-02-03","0","0","1",,,,,,,,,,,,,,,,
"2020-02-04","2","1","1","15",,,,,,,,,,,,,,,
"2020-02-05","2","2","4","16","4",,,,,,,,,,,,,,
"2020-02-06","0","0","4","12","19",,,,,,,,,,,,,,
"2020-02-07","0","0","6","12","9",,,,,,,,,,,,,,
"2020-02-08","0","0","9","7","4",,,,,,,,,,,,,,
"2020-02-09","0","0","9","7","10",,,,,,,,,,,,,,
"2020-02-10","0","0","9","7","12",,,,,,,,,,,,,,
"2020-02-11","0","1","10","6","4",,,,,,,,,,,,,,
"2020-02-12","1","1","11","6","10",,,,,,,,,,,,,,
"2020-02-13","4","3","11","6","16",,,,,,,,,,,,,,
"2020-02-14","7","5","12","9","43","1",,,,,,,,,,,,,
"2020-02-15","12","4","12","24","86","1",,,,,,,,,,,,,
"2020-02-16","6","1","13","24","65","1",,,,,,,,,,,,,
"2020-02-17","7","6","12","24","113","1",,,,,,,,,,,,,
"2020-02-18","7","8","14","31","9","1","472","75","398",,"79",,"1024","1024",,,,,
"2020-02-19","10","9","16","35","71","1","15","68","609",,"0",,"692","692",,,,,
"2020-02-20","9","8","16","52","90","1","20","15","758",,"0",,"793","793",,,,,
"2020-02-21","11","13","16","62","85","1","261","188","902",,"108",,"1591","1591",,,,,
"2020-02-22","27","23","17","96","96","1","341","127","677",,"19",,"1166","1166",,,,,
"2020-02-23","12","10","17","108","39","1","53","72","529",,"0",,"654","654",,,,,
"2020-02-24","12","16","18","121","104","1","22","103","460",,"0",,"602","602",,,,,
"2020-02-25","8","8","23","125","44","1","195","38","695",,"0",,"928","928",,,,,
"2020-02-26","22","22","23","138","168","1","267","19","970",,"0",,"1405","1405",,,,,
"2020-02-27","24","24","30","161","151","3","237","61","1101",,"0",,"1399","1399",,,,,
"2020-02-28","20","19","30","176","130","4","53","79","1369",,"0",,"1603","1603",,,,,
"2020-02-29","9","9","31","188","178","5","10","86","971",,"0",,"1067","1067",,,,,
"2020-03-01","15","14","31","201","96","5","0","22","544",,"0",,"682","682",,,,,
"2020-03-02","14","14","32","212","71","6","125","24","1038",,"0",,"1202","1202",,,,,
"2020-03-03","16","22","35","226","153","6","20","27","1718",,"0",,"1776","1776",,,,,
"2020-03-04","33","34","37","258","3940","6","71","12","1398",,"0",,"1488","1488",,,,,
"2020-03-05","31","33","38","271","699","6","83","11","1579",,"0",,"1678","1678",,,,,
"2020-03-06","59","54","56","323","553","6","107","35","1786",,"62","68","2063","2063",,,,,
"2020-03-07","47","44","63","366","147","6","18","13","1616",,"20","44","1722","1722",,,,,
"2020-03-08","33","35","67","377","110","6","0","10","579",,"8","9","608","608",,,,,
"2020-03-09","26","27","88","400","1314","7","0","27","1072",,"97","48","1248","1248",,,,,
"2020-03-10","54","60","89","437","424","9","8","57","1763",,"65","62","2052","2052",,,,,
"2020-03-11","52","52","103","481","181","12","69","45","1537",,"70","83","1885","1885",,,,,
"2020-03-12","55","55","108","520","1855","15","86","128","1378",,"54","65","1739","1739",,,,,
"2020-03-13","40","34","120","548","859","19","4","187","1163",,"75","98","1564","1564",,,,,
"2020-03-14","62","62","129","591","107","21","153","238","1082",,"15","52","1593","1593",,,,,
"2020-03-15","33","29","142","603","42","22","12","59","432",,"4","106","613","613",,,,,
"2020-03-16","15","16","149","621","2083","24","25","65","816",,"82","57","1080","1080",,,,,
